objectid,filename,title,format,description,creator,date ,Location,Publisher,Contributor,rights,type,language,Identifier,source
1,Frank Ocean - Pink + White_uzS3WG6__G4.mp3,Pink and White,MP3,“Pink + White” details Frank's memories of his youth and someone close to him who passed away. He remembers this person by recalling the lessons they taught him. The theme of mortality plays a key role in this song.2,Frank Ocean,2016,"Greenville, Texas","Boys Don't Cry, in conjunction with Def Jam Recordings and Universal Music","Pharrell Williams, and Tyler, the Creator, Beyonce",BMI or ASCAP,Audio,English ,International Standard Recording Code (ISRC) or the International Standard Musical Work Code (ISWC).,https://www.youtube.com/watch?v=uzS3WG6__G4
2,wuthering_heights_by_emily_brontë.mp3,Wuthering Heights,MP3,"The title of the novel comes from the Yorkshire manor on the moors of the story. The narrative centres on the all-encompassing, passionate, but ultimately doomed love between Catherine Earnshaw and Heathcliff, and how this unresolved passion eventually destroys them and the people around them.",Emily Brontë,3/6/2023,,,Microsoft, https://www.gutenberg.org/policy/license.html,Audio,english, synapseml_gutenberg_wuthering_heights_by_emily_bronte,https://www.gutenberg.org/cache/epub/768/pg768-images.html 
3,Hozier - Work Song (Official Video)_nH7bjV0Q_44.mp3,Work song,MP3,"Work songs are typically sung for two reasons: to coordinate the labor of a group of people working together, which improves the efficiency of the work, and to relieve the boredom of a tedious job, which improves the lives of the workers.",Andrew John Hozier-Byrne,2014,"Dublin, Ireland","BMI (Broadcast Music, Inc.) and ASCAP (American Society of Composers, Authors, and Publishers),",,Rubyworks Records,Audio,English ,International Standard Recording Code (ISRC) or the International Standard Musical Work Code (ISWC).,https://www.youtube.com/watch?v=nH7bjV0Q_44
4,EL067_L_1973_03_057_08_1_PF_01.pdf,"Élections législatives de 1973, Moselle - 57, circonscription n°08 : profession de foi de Pierre Messmer au tour 1",PDF,"Élections législatives de 1973, Moselle - 57, circonscription n°08 : profession de foi de Pierre Messmer au tour 1",Pierre Messmer,4/3/1973,France, Sciences Po,Union des républicains de progrès,FREE,profession de foi, French, EL067_L_1973_03_057_08_1_PF_01,
5,Bodleian-Library-4-F-2-Art-BS_00001_fol-1r_reduced.jpg,Bodleian Library 4° F 2 Art.BS.,JPG,The shepheardes calender conteyning twelue æglogues [signed Immeritõ].,"Spenser, Edmund, 1552?-1599",1579,Lond.,H. Singleton,The Tolkien Trust,"© Bodleian Libraries, University of Oxford",Photo,english,Aleph Control Number: 014313591,
6,service-pnp-agc-7a12000-7a12900-7a12941r.jpg,"Massaguer, Conrado, portrait photograph",JPG,Portrait photograph of Cuban illustrator Conrado W. Massaguer,"Genthe, Arnold",8/2/1934,Dutch Treat, Genthe photograph collection,Genthe Arnold,"Genthe photograph collection, Library of Congress, Prints and Photographs Division",Still image,English , https://hdl.loc.gov/loc.pnp/agc.7a12941,Genthe photograph collection (Library of Congress)
7,service-gdc-gdcwebcasts-10-09-27-hi-s1-30-0-100927his1300-100927his1300_640x480_800.mp4,"Haiti and the Aftermath: Actions, Vision & a Plan",MP4,"Chavennes Jean-Baptiste, founder of the Peasant Movement of Papay, addressed how his organization is responding to the earthquake in Haiti.",Library of Congress,27/9/2012,"Washington, D.C.","Library of Congress. Hispanic Division, sponsoring body","Library of Congress, Library of Congress. Hispanic Division",Library of Congress,"Film, Video",English ,https://hdl.loc.gov/loc.gdc/gdcwebcasts.100927his1300,https://lccn.loc.gov/2021688523 
8,public-gdcmassbookdig-moralaimsofwarco00laid-moralaimsofwarco00laid.pdf,"The moral aims of the war; comprising a series of addresses given at an all day Interchurch Clerical Conference in the city of New York, April 4th, 1918.",PDF,"The moral aims of the war; comprising a series of addresses given at an all day Interchurch Clerical Conference in the city of New York, April 4th, 1918.",Laidlaw Walter,4/1/1905,"New York, Chicago [etc.] Fleming H. Revell Company","New York, Chicago [etc.] Fleming H. Revell Company",Interchurch Clerical Conference,Interchurch Clerical Conference,text,English ,hdl:loc.gdc/scd0001.00076293132,DLC
9,iiif-service_gmd_gmdkislak_1989_001_00_0001_1989_001_00_0001_cs-full-pct_12.5-0-default.jpg,"Low vase with God N emerging from shell, CE 600-900",3D ,"Low vase with God N emerging from shell, CE 600-900","Kislak, Jay I.",0600 to 0900,Guatemalan Highlands,,"Kislak, Jay I.",Jay I. Kislak Collection,Image,English ,https://hdl.loc.gov/loc.gmd/gm020010.gmdkislak.1989_001_00_0001,Jay I. Kislak collection
10,service-music-musdcm-mu-sd-cm-fl-ut-e--11-82-musdcmflute-1182-1182f1u.gif,Flute in C,3D ,Flute in C,George Catlin,1816,Philadelphia,,George Catlin,Library of Congress,image,English ,DCM 1182,https://hdl.loc.gov/hdl:loc.music/dcmflute.1182
